tanggal,CH4,CO,NO2,SO2
8/24/2025,1850.206787,0.032369055,3.01E-05,0.000543761
8/25/2025,1867.289429,0.029643637,3.99E-05,0.000182178
8/26/2025,,,4.59E-05,-0.000257943
8/27/2025,,0.028470703,,0.000107017
8/28/2025,,0.024230437,2.95E-05,-6.55E-05
8/29/2025,,0.027041946,2.91E-05,0.000307514
8/30/2025,,0.02676853,6.37E-06,8.57E-05
8/31/2025,,0.027958121,1.86E-05,0.00014133
9/1/2025,,0.025398503,3.31E-05,9.33E-05
9/2/2025,,0.022620433,1.40E-05,0.000162918
9/3/2025,,0.022170439,7.30E-06,-7.45E-05
9/4/2025,,0.027139372,1.31E-05,6.18E-05
9/5/2025,,0.03200858,2.53E-05,-4.91E-06
9/6/2025,,0.03074534,5.39E-05,-0.000450341
9/7/2025,,0.028754175,2.20E-05,-0.000312739
9/8/2025,,,,
9/9/2025,,0.027210451,,-0.000105382
9/10/2025,,,,
9/11/2025,,0.028746447,2.41E-05,0.000500347
9/12/2025,,0.026741931,3.00E-05,0.000335335
9/13/2025,,0.029982043,4.04E-05,0.000201841
9/14/2025,,0.025939745,6.32E-06,7.66E-05
9/15/2025,,0.026463868,2.72E-05,5.50E-05
9/16/2025,,,2.32E-05,-0.000263066
9/17/2025,,0.027635145,,
9/18/2025,,,,
9/19/2025,,,,
9/20/2025,,,,
9/21/2025,,0.033359441,,0.000124233
9/22/2025,,0.02853163,3.15E-05,0.000372678
9/23/2025,,0.036133628,8.08E-05,-0.000128016
9/24/2025,,0.03780002,0.000117079,8.42E-05
9/25/2025,,0.030296619,1.13E-05,-3.82E-05
9/26/2025,,0.030136972,1.79E-05,5.15E-05
9/27/2025,,0.035357403,1.80E-05,2.65E-05
9/28/2025,,0.030056516,7.58E-06,3.67E-05
9/29/2025,,0.029254781,2.68E-05,-5.90E-05
9/30/2025,,,,
10/1/2025,,,,
10/2/2025,,0.028677608,4.28E-05,-0.000290489
10/3/2025,,0.031855709,4.65E-05,-4.29E-05
10/4/2025,,0.035833866,3.35E-05,4.97E-05
10/5/2025,,0.033428401,2.56E-05,-0.00019473
10/6/2025,,0.027038612,2.70E-05,-5.57E-05
10/7/2025,,0.044217522,3.78E-05,0.000123182
10/8/2025,,,8.01E-05,0.000189957
10/9/2025,,0.031871953,4.59E-05,6.22E-05
10/10/2025,,0.035484482,3.58E-05,-1.46E-05
10/11/2025,,0.032433671,,-0.000295964
10/12/2025,,0.032178501,,-0.000181926
10/13/2025,,,,
10/14/2025,,0.029747532,3.15E-05,0.0001021
10/15/2025,,,,
10/16/2025,,0.024660491,1.51E-05,-0.000141823
10/17/2025,,0.031051602,2.60E-05,-9.89E-05
10/18/2025,,,,-0.000517791
10/19/2025,,0.03047395,2.81E-05,3.27E-05
10/20/2025,,,,
10/21/2025,,,,
10/22/2025,,,,
10/23/2025,,,,0.000171882
10/24/2025,,,,
10/25/2025,,,,
10/26/2025,,0.030286167,4.36E-05,5.68E-06
10/27/2025,,,,
10/28/2025,,0.023968029,3.10E-05,-5.50E-05
10/29/2025,,,,
10/30/2025,,,,
10/31/2025,,,,
11/1/2025,,,,
11/2/2025,,,,
11/3/2025,,,,
11/4/2025,,,,-7.06E-05
11/5/2025,,0.028291376,,
11/6/2025,,0.028274201,,0.000129386
11/7/2025,,,2.00E-05,0.000411076
11/8/2025,,,,
11/9/2025,,,,
11/10/2025,,,,
11/11/2025,,,,
11/12/2025,,,,
11/13/2025,,0.033466674,,
11/14/2025,,,,
11/15/2025,,,,
11/16/2025,,,,
11/17/2025,,,,
11/18/2025,,,4.84E-05,-6.61E-05
11/19/2025,,,6.22E-05,5.06E-05
11/20/2025,,,5.56E-05,-0.000478435
11/21/2025,,0.027902779,2.90E-05,0.000104119
11/22/2025,,0.028473625,7.37E-05,0.000159511
11/23/2025,,0.031191878,2.84E-05,
11/24/2025,,,,
11/25/2025,,0.028930587,4.32E-05,
11/26/2025,,0.027523043,4.27E-05,
11/27/2025,,,,
11/28/2025,,,,
11/29/2025,,0.024846371,,
11/30/2025,,,,
12/1/2025,,0.032675032,,
12/2/2025,,,4.47E-05,
12/3/2025,,0.029674212,3.32E-05,2.39E-05
12/4/2025,,,,
12/5/2025,,,3.92E-05,-0.000384807
12/6/2025,,,,-0.000135386
12/7/2025,,0.0307313,6.00E-05,-2.84E-06
12/8/2025,,0.02669495,,
12/9/2025,,,,
12/10/2025,,0.033180889,8.33E-05,-0.000296143
12/11/2025,,0.029516589,5.86E-05,-8.17E-06
12/12/2025,,,4.24E-05,9.83E-05
12/13/2025,,,,0.000203741
12/14/2025,,0.026922697,,5.42E-06
12/15/2025,,0.027581178,3.37E-05,0.000240711
12/16/2025,,,,
12/17/2025,,0.026520139,4.44E-05,3.47E-05
12/18/2025,,0.026747538,,
12/19/2025,,,,
12/20/2025,,,,
12/21/2025,,0.02329541,4.71E-05,-5.18E-05
12/22/2025,,0.025662743,4.93E-05,2.90E-05
12/23/2025,,0.031021115,4.91E-05,0.000353473
12/24/2025,,0.024037325,2.66E-05,0.000233163
12/25/2025,,0.030011265,3.38E-05,0.000108714
12/26/2025,,,,4.61E-05
