No,Polutan,Hari ke-,Tanggal,Nilai Polutan,Q1,Q3,IQR,Deviasi (k×IQR),Selisih Pagar,Kategori
1,SO2,1,2025-08-24,5.437610e-04,-5.500000e-05,1.706310e-04,2.256310e-04,1.654×,+3.4684e-05,Pencilan Atas (Tinggi)
2,SO2,14,2025-09-06,-4.503410e-04,-5.500000e-05,1.706310e-04,2.256310e-04,1.752×,+5.6894e-05,Pencilan Bawah (Rendah)
3,NO2,31,2025-09-23,8.080000e-05,2.322500e-05,4.235000e-05,1.912500e-05,2.010×,+9.7625e-06,Pencilan Atas (Tinggi)
4,CO,32,2025-09-24,3.780002e-02,2.673603e-02,3.056449e-02,3.828462e-03,1.890×,+1.4928e-03,Pencilan Atas (Tinggi)
5,NO2,32,2025-09-24,1.170790e-04,2.322500e-05,4.235000e-05,1.912500e-05,3.907×,+4.6041e-05,Pencilan Atas (Tinggi)
6,CO,45,2025-10-07,4.421752e-02,2.673603e-02,3.056449e-02,3.828462e-03,3.566×,+7.9103e-03,Pencilan Atas (Tinggi)
7,NO2,46,2025-10-08,8.010000e-05,2.322500e-05,4.235000e-05,1.912500e-05,1.974×,+9.0625e-06,Pencilan Atas (Tinggi)
8,SO2,56,2025-10-18,-5.177910e-04,-5.500000e-05,1.706310e-04,2.256310e-04,2.051×,+1.2434e-04,Pencilan Bawah (Rendah)
9,SO2,89,2025-11-20,-4.784350e-04,-5.500000e-05,1.706310e-04,2.256310e-04,1.877×,+8.4988e-05,Pencilan Bawah (Rendah)
10,NO2,91,2025-11-22,7.370000e-05,2.322500e-05,4.235000e-05,1.912500e-05,1.639×,+2.6625e-06,Pencilan Atas (Tinggi)
11,NO2,109,2025-12-10,8.330000e-05,2.322500e-05,4.235000e-05,1.912500e-05,2.141×,+1.2263e-05,Pencilan Atas (Tinggi)
12,NO2,207,2026-03-18,1.082670e-04,2.322500e-05,4.235000e-05,1.912500e-05,3.447×,+3.7229e-05,Pencilan Atas (Tinggi)
13,SO2,208,2026-03-19,6.689120e-04,-5.500000e-05,1.706310e-04,2.256310e-04,2.208×,+1.5983e-04,Pencilan Atas (Tinggi)
14,CO,226,2026-04-06,2.048735e-02,2.673603e-02,3.056449e-02,3.828462e-03,1.632×,+5.0599e-04,Pencilan Bawah (Rendah)
15,NO2,229,2026-04-09,7.740000e-05,2.322500e-05,4.235000e-05,1.912500e-05,1.833×,+6.3625e-06,Pencilan Atas (Tinggi)
16,NO2,251,2026-05-01,8.000000e-05,2.322500e-05,4.235000e-05,1.912500e-05,1.969×,+8.9625e-06,Pencilan Atas (Tinggi)
17,NO2,275,2026-05-25,8.270000e-05,2.322500e-05,4.235000e-05,1.912500e-05,2.110×,+1.1663e-05,Pencilan Atas (Tinggi)
18,SO2,275,2026-05-25,8.077910e-04,-5.500000e-05,1.706310e-04,2.256310e-04,2.824×,+2.9871e-04,Pencilan Atas (Tinggi)
19,NO2,276,2026-05-26,1.244530e-04,2.322500e-05,4.235000e-05,1.912500e-05,4.293×,+5.3416e-05,Pencilan Atas (Tinggi)
20,NO2,277,2026-05-27,7.560000e-05,2.322500e-05,4.235000e-05,1.912500e-05,1.739×,+4.5625e-06,Pencilan Atas (Tinggi)
21,NO2,278,2026-05-28,2.463840e-04,2.322500e-05,4.235000e-05,1.912500e-05,10.668×,+1.7535e-04,Pencilan Atas (Tinggi)
22,NO2,279,2026-05-29,8.710000e-05,2.322500e-05,4.235000e-05,1.912500e-05,2.340×,+1.6063e-05,Pencilan Atas (Tinggi)
23,SO2,291,2026-06-10,5.539490e-04,-5.500000e-05,1.706310e-04,2.256310e-04,1.699×,+4.4871e-05,Pencilan Atas (Tinggi)
24,CH4,300,2026-06-19,1.841516e+03,1.879476e+03,1.902061e+03,2.258516e+01,1.681×,+4.0827e+00,Pencilan Bawah (Rendah)
25,SO2,302,2026-06-21,5.449830e-04,-5.500000e-05,1.706310e-04,2.256310e-04,1.659×,+3.5905e-05,Pencilan Atas (Tinggi)
26,SO2,312,2026-07-01,6.903190e-04,-5.500000e-05,1.706310e-04,2.256310e-04,2.303×,+1.8124e-04,Pencilan Atas (Tinggi)
27,CO,334,2026-07-23,3.851003e-02,2.673603e-02,3.056449e-02,3.828462e-03,2.075×,+2.2028e-03,Pencilan Atas (Tinggi)
28,NO2,334,2026-07-23,7.830000e-05,2.322500e-05,4.235000e-05,1.912500e-05,1.880×,+7.2625e-06,Pencilan Atas (Tinggi)
29,SO2,344,2026-08-02,7.403350e-04,-5.500000e-05,1.706310e-04,2.256310e-04,2.525×,+2.3126e-04,Pencilan Atas (Tinggi)
30,NO2,352,2026-08-10,9.680000e-05,2.322500e-05,4.235000e-05,1.912500e-05,2.847×,+2.5762e-05,Pencilan Atas (Tinggi)
