tanggal,CH4,CO,NO2,SO2
2025-08-24,1850.206787,0.032369055,3.01e-05,0.000543761
2025-08-25,1867.289429,0.029643637,3.99e-05,0.000182178
2025-08-26,1867.369419863281,0.02905717,4.59e-05,-0.000257943
2025-08-27,1867.4494107265625,0.028470703,3.7699999999999995e-05,0.000107017
2025-08-28,1867.5294015898437,0.024230437,2.95e-05,-6.55e-05
2025-08-29,1867.6093924531249,0.027041946,2.91e-05,0.000307514
2025-08-30,1867.6893833164063,0.02676853,6.37e-06,8.57e-05
2025-08-31,1867.7693741796875,0.027958121,1.86e-05,0.00014133
2025-09-01,1867.8493650429687,0.025398503,3.31e-05,9.33e-05
2025-09-02,1867.9293559062498,0.022620433,1.4e-05,0.000162918
2025-09-03,1868.0093467695312,0.022170439,7.3e-06,-7.45e-05
2025-09-04,1868.0893376328124,0.027139372,1.31e-05,6.18e-05
2025-09-05,1868.1693284960936,0.03200858,2.53e-05,-4.91e-06
2025-09-06,1868.249319359375,0.03074534,5.39e-05,-0.000450341
2025-09-07,1868.3293102226562,0.028754175,2.2e-05,-0.000312739
2025-09-08,1868.4093010859374,0.027982313,2.2525e-05,-0.0002090605
2025-09-09,1868.4892919492188,0.027210451,2.3049999999999998e-05,-0.000105382
2025-09-10,1868.5692828125,0.027978449000000002,2.3575e-05,0.00019748250000000003
2025-09-11,1868.6492736757812,0.028746447,2.41e-05,0.000500347
2025-09-12,1868.7292645390623,0.026741931,3e-05,0.000335335
2025-09-13,1868.8092554023438,0.029982043,4.04e-05,0.000201841
2025-09-14,1868.889246265625,0.025939745,6.32e-06,7.66e-05
2025-09-15,1868.9692371289061,0.026463868,2.72e-05,5.5e-05
2025-09-16,1869.0492279921875,0.0270495065,2.32e-05,-0.000263066
2025-09-17,1869.1292188554687,0.027635145,2.4583333333333336e-05,-0.0001856062
2025-09-18,1869.20920971875,0.029066218999999997,2.5966666666666667e-05,-0.00010814639999999999
2025-09-19,1869.2892005820313,0.030497292999999998,2.735e-05,-3.068659999999997e-05
2025-09-20,1869.3691914453125,0.031928367,2.8733333333333335e-05,4.677320000000002e-05
2025-09-21,1869.4491823085937,0.033359441,3.011666666666667e-05,0.000124233
2025-09-22,1869.5291731718748,0.02853163,3.15e-05,0.000372678
2025-09-23,1869.6091640351563,0.036133628,2.4766666666666668e-05,-0.000128016
2025-09-24,1869.6891548984374,0.0332151235,1.8033333333333336e-05,8.42e-05
2025-09-25,1869.7691457617186,0.030296619,1.13e-05,-3.82e-05
2025-09-26,1869.849136625,0.030136972,1.79e-05,5.15e-05
2025-09-27,1869.9291274882812,0.035357403,1.8e-05,2.65e-05
2025-09-28,1870.0091183515624,0.030056516,7.58e-06,3.67e-05
2025-09-29,1870.0891092148438,0.029254781,2.68e-05,-5.9e-05
2025-09-30,1870.169100078125,0.02906239,3.213333333333333e-05,-0.00013616300000000002
2025-10-01,1870.2490909414062,0.028869999,3.7466666666666665e-05,-0.000213326
2025-10-02,1870.3290818046873,0.028677608,4.28e-05,-0.000290489
2025-10-03,1870.4090726679688,0.031855709,4.65e-05,-4.29e-05
2025-10-04,1870.48906353125,0.035833866,3.35e-05,4.97e-05
2025-10-05,1870.5690543945311,0.033428401,2.56e-05,-0.00019473
2025-10-06,1870.6490452578125,0.027038612,2.7e-05,-5.57e-05
2025-10-07,1870.7290361210937,0.028649725666666667,3.78e-05,0.000123182
2025-10-08,1870.809026984375,0.030260839333333334,4.185e-05,0.000189957
2025-10-09,1870.8890178476563,0.031871953,4.59e-05,6.22e-05
2025-10-10,1870.9690087109375,0.035484482,3.58e-05,-1.46e-05
2025-10-11,1871.0489995742187,0.032433671,3.4725000000000004e-05,-0.000295964
2025-10-12,1871.1289904374999,0.032178501,3.3650000000000005e-05,-0.000181926
2025-10-13,1871.2089813007813,0.0309630165,3.2575e-05,-3.991300000000001e-05
2025-10-14,1871.2889721640624,0.029747532,3.15e-05,0.0001021
2025-10-15,1871.3689630273436,0.0272040115,2.33e-05,-1.98615e-05
2025-10-16,1871.448953890625,0.024660491,1.51e-05,-0.000141823
2025-10-17,1871.5289447539062,0.031051602,2.6e-05,-9.89e-05
2025-10-18,1871.6089356171874,0.030762776,2.705e-05,-3.3100000000000005e-05
2025-10-19,1871.6889264804688,0.03047395,2.81e-05,3.27e-05
2025-10-20,1871.76891734375,0.030447123857142856,3.0314285714285714e-05,6.74955e-05
2025-10-21,1871.8489082070312,0.030420297714285713,3.252857142857143e-05,0.00010229099999999999
