No,Polutan,Hari ke-,Tanggal,Nilai Polutan,Rata-rata (μ),Std Dev (σ),Z-Score,Tahap Iterasi,Kategori
1,NO2,31,2025-09-23,8.080000e-05,3.288292e-05,1.587113e-05,+3.0191,Tahap 3,Pencilan Atas (Tinggi)
2,CO,32,2025-09-24,3.780002e-02,2.871809e-02,2.961696e-03,+3.0665,Tahap 2,Pencilan Atas (Tinggi)
3,NO2,32,2025-09-24,1.170790e-04,3.555625e-05,2.403490e-05,+3.3918,Tahap 1,Pencilan Atas (Tinggi)
4,CO,45,2025-10-07,4.421752e-02,2.882526e-02,3.180524e-03,+4.8395,Tahap 1,Pencilan Atas (Tinggi)
5,NO2,46,2025-10-08,8.010000e-05,3.217407e-05,1.482667e-05,+3.2324,Tahap 4,Pencilan Atas (Tinggi)
6,SO2,56,2025-10-18,-5.177910e-04,5.753804e-05,1.898593e-04,-3.0303,Tahap 2,Pencilan Bawah (Rendah)
7,NO2,91,2025-11-22,7.370000e-05,3.126137e-05,1.343041e-05,+3.1599,Tahap 5,Pencilan Atas (Tinggi)
8,NO2,109,2025-12-10,8.330000e-05,3.288292e-05,1.587113e-05,+3.1767,Tahap 3,Pencilan Atas (Tinggi)
9,NO2,207,2026-03-18,1.082670e-04,3.555625e-05,2.403490e-05,+3.0252,Tahap 1,Pencilan Atas (Tinggi)
10,SO2,208,2026-03-19,6.689120e-04,5.753804e-05,1.898593e-04,+3.2201,Tahap 2,Pencilan Atas (Tinggi)
11,NO2,229,2026-04-09,7.740000e-05,3.217407e-05,1.482667e-05,+3.0503,Tahap 4,Pencilan Atas (Tinggi)
12,NO2,251,2026-05-01,8.000000e-05,3.217407e-05,1.482667e-05,+3.2257,Tahap 4,Pencilan Atas (Tinggi)
13,NO2,275,2026-05-25,8.270000e-05,3.288292e-05,1.587113e-05,+3.1388,Tahap 3,Pencilan Atas (Tinggi)
14,SO2,275,2026-05-25,8.077910e-04,6.583455e-05,2.032376e-04,+3.6507,Tahap 1,Pencilan Atas (Tinggi)
15,NO2,276,2026-05-26,1.244530e-04,3.555625e-05,2.403490e-05,+3.6987,Tahap 1,Pencilan Atas (Tinggi)
16,NO2,277,2026-05-27,7.560000e-05,3.126137e-05,1.343041e-05,+3.3014,Tahap 5,Pencilan Atas (Tinggi)
17,NO2,278,2026-05-28,2.463840e-04,3.555625e-05,2.403490e-05,+8.7717,Tahap 1,Pencilan Atas (Tinggi)
18,NO2,279,2026-05-29,8.710000e-05,3.343495e-05,1.679887e-05,+3.1946,Tahap 2,Pencilan Atas (Tinggi)
19,SO2,312,2026-07-01,6.903190e-04,6.583455e-05,2.032376e-04,+3.0727,Tahap 1,Pencilan Atas (Tinggi)
20,CO,334,2026-07-23,3.851003e-02,2.882526e-02,3.180524e-03,+3.0450,Tahap 1,Pencilan Atas (Tinggi)
21,NO2,334,2026-07-23,7.830000e-05,3.217407e-05,1.482667e-05,+3.1110,Tahap 4,Pencilan Atas (Tinggi)
22,SO2,344,2026-08-02,7.403350e-04,6.583455e-05,2.032376e-04,+3.3188,Tahap 1,Pencilan Atas (Tinggi)
23,NO2,352,2026-08-10,9.680000e-05,3.343495e-05,1.679887e-05,+3.7720,Tahap 2,Pencilan Atas (Tinggi)
